,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
218,97,EU,478,Mauritania,Import,83,3,3.0
219,97,EU,484,Mexico,Import,43308787,10725488,10725488.0
220,97,EU,490,"Other Asia, nes",Import,132548,56848,56848.0
221,97,EU,490,"Other Asia, nes",Export,4195,500,500.0
222,97,EU,496,Mongolia,Import,1156,230,230.0
223,97,EU,499,Montenegro,Import,87145948,78743310,78743310.0
224,97,EU,499,Montenegro,Export,4428195,2332420,2332420.0
225,97,EU,504,Morocco,Import,108818787,75203596,75203596.0
226,97,EU,504,Morocco,Export,1,11,11.0
227,97,EU,508,Mozambique,Import,757,16,16.0
228,97,EU,516,Namibia,Import,526,13,13.0
229,97,EU,516,Namibia,Export,162523163,75894314,75894314.0
230,97,EU,579,Norway,Import,4235,6854,6854.0
231,97,EU,591,Panama,Import,684618758,297793800,297793800.0
232,97,EU,598,Papua New Guinea,Import,65857405,21600000,21600000.0
233,97,EU,604,Peru,Import,1494252482,665962235,665962235.0
234,97,EU,608,Philippines,Import,5330,212,212.0
235,97,EU,643,Russian Federation,Import,53813513,25392783,25392783.0
236,97,EU,643,Russian Federation,Export,154385,138889,138889.0
237,97,EU,682,Saudi Arabia,Import,156,3,3.0
238,97,EU,688,Serbia,Import,61754225,42631219,42631219.0
239,97,EU,688,Serbia,Export,122190754,65442200,65442200.0
240,97,EU,699,India,Import,3012,111,111.0
241,97,EU,704,Viet Nam,Import,799,16,16.0
242,97,EU,710,South Africa,Import,229450,83565,83565.0
243,97,EU,710,South Africa,Export,53,107,107.0
244,97,EU,757,Switzerland,Import,856,347,347.0
245,97,EU,757,Switzerland,Export,23,10,10.0
246,97,EU,762,Tajikistan,Import,293,6,6.0
247,97,EU,764,Thailand,Import,172,5,5.0
248,97,EU,784,United Arab Emirates,Import,82193,138854,138854.0
249,97,EU,784,United Arab Emirates,Export,4514,1000,1000.0
250,97,EU,788,Tunisia,Export,1701,150,150.0
251,97,EU,792,Turkey,Import,381037716,232041579,232041579.0
252,97,EU,792,Turkey,Export,51331,10063,10063.0
253,97,EU,804,Ukraine,Export,19266,4476,4476.0
254,97,EU,807,North Macedonia,Import,67612315,29913908,29913908.0
255,97,EU,818,Egypt,Import,157,9,9.0
256,97,EU,826,United Kingdom,Import,20201,4081,4081.0
257,97,EU,826,United Kingdom,Export,3312,2267,2267.0
258,97,EU,834,United Rep. of Tanzania,Import,496,15,15.0
259,97,EU,842,USA,Import,470954118,202474162,202474162.0
260,97,EU,842,USA,Export,27930,473,473.0
261,97,EU,894,Zambia,Import,4578,599,599.0
262,246,Finland,0,World,Import,1286536357,0,
263,246,Finland,0,World,Export,266984696,0,
264,246,Finland,36,Australia,Import,165142724,70392616,70392616.0
265,246,Finland,36,Australia,Export,578,90,90.0
266,246,Finland,56,Belgium,Export,81081837,32926065,
267,246,Finland,76,Brazil,Import,205189359,87462622,87462622.0
268,246,Finland,124,Canada,Import,125054998,53305104,53305104.0
269,246,Finland,124,Canada,Export,9,6,6.0
270,246,Finland,152,Chile,Import,273094983,116407612,116407612.0
271,246,Finland,276,Germany,Export,67650936,27471986,
272,246,Finland,484,Mexico,Import,43309342,0,
273,246,Finland,490,"Other Asia, nes",Import,10,2,2.0
274,246,Finland,504,Morocco,Import,59,25,25.0
275,246,Finland,604,Peru,Import,123684956,52720927,52720927.0
276,246,Finland,620,Portugal,Import,236468905,100795629,100795629.0
277,246,Finland,710,South Africa,Import,100,54,54.0
278,246,Finland,724,Spain,Import,92035266,39230327,39230327.0
279,246,Finland,752,Sweden,Export,118251240,0,
280,246,Finland,792,Turkey,Import,7360666,0,
281,246,Finland,804,Ukraine,Export,1,1,1.0
282,246,Finland,807,North Macedonia,Import,59,65,65.0
283,246,Finland,826,United Kingdom,Import,14,77,77.0
284,246,Finland,826,United Kingdom,Export,93,109,109.0
285,246,Finland,842,USA,Import,15194910,6476937,6476937.0
286,268,Georgia,0,World,Import,736080453,368502467,368502467.0
287,268,Georgia,0,World,Export,815437827,398008357,398008357.0
288,268,Georgia,8,Albania,Import,4455764,2372490,2372490.0
289,268,Georgia,31,Azerbaijan,Import,11724265,4653035,4653035.0
290,268,Georgia,51,Armenia,Import,345664775,200364196,200364196.0
291,268,Georgia,51,Armenia,Export,10454,4050,4050.0
292,268,Georgia,76,Brazil,Import,67520178,18336460,18336460.0
293,268,Georgia,100,Bulgaria,Export,241171135,107141953,107141953.0
294,268,Georgia,152,Chile,Import,135912888,68399170,68399170.0
295,268,Georgia,156,China,Export,496929296,254178500,254178500.0
296,268,Georgia,360,Indonesia,Import,132524738,50160730,50160730.0
297,268,Georgia,364,Iran,Import,110,54,54.0
298,268,Georgia,410,Rep. of Korea,Export,3548056,420494,420494.0
299,268,Georgia,643,Russian Federation,Export,100,700,700.0
300,268,Georgia,688,Serbia,Import,23465401,14548760,14548760.0
301,268,Georgia,724,Spain,Export,73778784,36262660,36262660.0
302,268,Georgia,792,Turkey,Import,14812331,9667572,9667572.0
303,276,Germany,0,World,Import,3052500247,1148834533,1148834533.0
304,276,Germany,0,World,Export,24588528,44449640,44449640.0
305,276,Germany,36,Australia,Import,231799540,57454993,57454993.0
306,276,Germany,56,Belgium,Export,1597322,142122,142122.0
307,276,Germany,76,Brazil,Import,817738843,258332266,258332266.0
308,276,Germany,124,Canada,Import,183320366,61607869,61607869.0
309,276,Germany,124,Canada,Export,878845,73246,73246.0
310,276,Germany,152,Chile,Import,506473138,220843255,220843255.0
311,276,Germany,156,China,Import,95294,18000,18000.0
312,276,Germany,246,Finland,Import,10134194,468170,468170.0
313,276,Germany,251,France,Import,4097,31,31.0
314,276,Germany,288,Ghana,Import,197,91,91.0
315,276,Germany,360,Indonesia,Import,296078039,121502991,121502991.0
316,276,Germany,376,Israel,Import,7167,3429,3429.0
317,276,Germany,398,Kazakhstan,Import,2496874,1294156,1294156.0
318,276,Germany,484,Mexico,Import,43,20,20.0
319,276,Germany,490,"Other Asia, nes",Import,131490,56812,56812.0
320,276,Germany,496,Mongolia,Import,197,208,208.0
321,276,Germany,504,Morocco,Import,11295019,10201000,10201000.0
322,276,Germany,591,Panama,Import,224296011,100789000,100789000.0
323,276,Germany,598,Papua New Guinea,Import,65769488,21600000,21600000.0
324,276,Germany,604,Peru,Import,584019237,252083066,252083066.0
325,276,Germany,620,Portugal,Import,9968283,5703008,5703008.0
326,276,Germany,643,Russian Federation,Import,6631435,3493061,3493061.0
327,276,Germany,724,Spain,Import,39259873,4702680,4702680.0
328,276,Germany,752,Sweden,Export,22111810,44234231,44234231.0
329,276,Germany,792,Turkey,Import,40834376,21548070,21548070.0
330,276,Germany,826,United Kingdom,Import,109,52,52.0
331,276,Germany,826,United Kingdom,Export,548,41,41.0
332,276,Germany,842,USA,Import,22145561,7131745,7131745.0
333,276,Germany,894,Zambia,Import,1363,560,560.0
334,300,Greece,0,World,Import,3921,212,212.0
335,300,Greece,0,World,Export,3052,31,31.0
336,300,Greece,156,China,Import,31,10,10.0
337,300,Greece,196,Cyprus,Export,1278,1,1.0
338,300,Greece,276,Germany,Export,1774,30,30.0
339,300,Greece,381,Italy,Import,3869,50,50.0
340,300,Greece,826,United Kingdom,Import,20,152,152.0
341,320,Guatemala,0,World,Import,6098,115,115.0
342,320,Guatemala,156,China,Import,841,46,46.0
