Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,2100,Sea,260300,Copper ores and concentrates,8,kg,187940902,8,kg,187940902,187940902,0,174832073,,174832073,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,2100,Sea,260300,Copper ores and concentrates,8,kg,187940902,8,kg,187940902,187940902,0,174832073,,174832073,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,426,8,kg,426,426,0,402,,402,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,426,8,kg,426,426,0,402,,402,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,426,8,kg,426,426,0,402,,402,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,426,8,kg,426,426,0,402,,402,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C03,Outright exportation,2100,Sea,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,490,"Other Asia, nes",S19,C03,Outright exportation,2100,Sea,260300,Copper ores and concentrates,8,kg,288160,8,kg,288160,288160,0,79345,,79345,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,36,Australia,AUS,C03,Outright exportation,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,36,Australia,AUS,C03,Outright exportation,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,36,Australia,AUS,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,36,Australia,AUS,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,300,8,kg,300,300,0,100,,100,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,56,Belgium,BEL,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,232,8,kg,232,232,0,219,,219,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,70,Bosnia Herzegovina,BIH,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,194,8,kg,194,194,0,183,,183,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,70,Bosnia Herzegovina,BIH,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,194,8,kg,194,194,0,183,,183,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,56,Belgium,BEL,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,232,8,kg,232,232,0,219,,219,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,70,Bosnia Herzegovina,BIH,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,194,8,kg,194,194,0,183,,183,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,56,Belgium,BEL,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,232,8,kg,232,232,0,219,,219,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,70,Bosnia Herzegovina,BIH,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,194,8,kg,194,194,0,183,,183,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,56,Belgium,BEL,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,232,8,kg,232,232,0,219,,219,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,156,China,CHN,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,86925090,8,kg,86925090,86925090,0,76043743,,76043743,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,642,Romania,ROU,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,1388900,8,kg,1388900,1388900,0,1346983,,1346983,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,688,Serbia,SRB,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,3426460,8,kg,3426460,3426460,0,5059545,,5059545,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,516,Namibia,NAM,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,2174320,8,kg,2174320,2174320,0,1663881,,1663881,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,458,Malaysia,MYS,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,6743474,8,kg,6743474,6743474,0,5977424,,5977424,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,276,Germany,DEU,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,50880,8,kg,50880,50880,0,31489,,31489,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,724,Spain,ESP,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,215798,8,kg,215798,215798,0,265432,,265432,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,100,Bulgaria,BGR,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,85845850,8,kg,85845850,85845850,0,83578686,,83578686,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,410,Rep. of Korea,KOR,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,518770,8,kg,518770,518770,0,518770,,518770,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,116,Cambodia,KHM,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,363200,8,kg,363200,363200,0,266775,,266775,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,100,Bulgaria,BGR,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,85845850,8,kg,85845850,85845850,0,83578686,,83578686,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,516,Namibia,NAM,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,2174320,8,kg,2174320,2174320,0,1663881,,1663881,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,724,Spain,ESP,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,215798,8,kg,215798,215798,0,265432,,265432,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,410,Rep. of Korea,KOR,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,518770,8,kg,518770,518770,0,518770,,518770,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,116,Cambodia,KHM,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,363200,8,kg,363200,363200,0,266775,,266775,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,688,Serbia,SRB,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,3426460,8,kg,3426460,3426460,0,5059545,,5059545,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,156,China,CHN,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,86925090,8,kg,86925090,86925090,0,76043743,,76043743,0
