Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,598,Papua New Guinea,PNG,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,10500000,,,,10500000,,34133500,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,604,Peru,PER,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,298856324,,,,298856324,,504392327,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,620,Portugal,PRT,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,20870020,,,,20870020,,22155165,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,752,Sweden,SWE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,46083790,,,,46083790,,18138233,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1283,,,,1283,,2400,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,842,USA,USA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,19137,,,,19137,,36141,,,0
H5,2019,2019,2019,6,1,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,24730,,,,24730,,49204,,,0
H5,2019,2019,2019,6,1,2,Export,288,Ghana,GHA,381,Italy,ITA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,24730,,,,24730,,49204,,,0
H5,2019,2019,2019,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,81,,,,81,,6425,,,0
H5,2019,2019,2019,6,1,1,Import,300,Greece,GRC,36,Australia,AUS,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1,,,,1,,422,,,0
